Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,SUM,MAX,Avg, 
P1,11,12,10,8,13,12,14,21,6,14,11,14,16,9,9,9,14,9,3,12,5,11,7,12,5,9,7,10,5,11,7,10,12,6,5,14,10,9,12,17,7,11,4,7,8,10,12,3,7,6,5,10,3,501,21,9.634615385,
P2,7,6,3,2,7,1,6,3,3,3,2,2,6,2,0,6,2,7,7,9,4,7,2,4,5,3,5,8,5,5,3,1,3,2,3,10,5,2,7,3,2,5,2,4,5,1,1,4,5,1,6,0,0,207,10,3.980769231,
P3,7,11,8,9,10,8,7,13,12,6,14,9,4,7,12,8,7,11,10,7,7,13,11,8,10,8,14,5,3,13,11,9,7,8,7,9,6,12,12,9,3,5,6,14,5,5,7,8,14,8,8,7,3,452,14,8.692307692,
P4,12,8,13,5,9,6,9,13,13,11,8,4,5,4,15,7,11,9,15,4,6,7,11,7,9,6,10,10,2,6,7,2,5,12,5,19,8,6,8,8,12,6,9,10,3,4,6,8,14,8,7,8,2,430,19,8.269230769,
P5,8,5,13,11,6,7,9,14,9,9,11,18,8,4,13,8,10,15,6,13,11,6,10,9,8,12,8,9,13,3,5,3,5,5,9,7,4,8,8,5,5,8,7,11,7,12,6,6,5,11,8,9,3,440,18,8.461538462,
P6,3,3,2,7,6,3,8,6,6,3,1,1,5,4,3,5,3,5,10,8,4,9,7,5,4,2,1,3,2,4,0,3,2,11,2,1,4,4,3,2,5,4,4,2,4,3,6,5,3,3,10,6,0,220,11,4.230769231,
P7,4,8,3,7,8,7,2,3,10,3,5,2,3,4,5,3,7,10,0,3,7,5,1,5,7,5,2,4,3,1,3,2,2,4,2,6,4,5,1,3,5,8,2,3,3,6,2,6,2,4,2,1,0,213,10,4.096153846,
P8,8,6,10,9,6,8,7,5,10,10,8,8,15,9,5,11,10,7,13,9,12,11,5,11,11,12,3,10,12,9,9,10,8,9,8,9,15,6,7,8,3,9,10,14,4,8,8,6,7,4,9,9,3,450,15,8.653846154,
P9,14,9,10,7,11,15,12,7,13,12,15,15,16,10,9,9,13,8,10,18,18,17,10,16,14,10,4,7,7,10,3,13,9,7,9,8,7,9,15,8,9,8,11,5,13,3,7,7,10,12,7,13,3,539,18,10.36538462,
P10,22,19,19,29,20,16,26,20,24,20,31,22,23,19,15,19,22,23,20,33,16,23,23,16,25,27,12,15,15,11,14,29,23,12,16,9,23,22,15,18,13,17,14,17,11,24,13,16,18,23,18,20,9,1010,33,19.42307692,
P11,15,7,15,14,17,7,10,16,11,8,8,10,10,12,10,16,13,10,13,13,18,12,15,9,8,5,11,8,9,10,7,12,12,9,16,11,12,10,6,19,6,12,11,16,12,11,13,8,17,10,10,21,5,601,21,11.55769231,
P12,3,4,1,6,4,3,7,3,5,3,5,6,5,0,4,0,7,1,5,5,3,7,4,4,5,6,4,0,4,4,2,2,4,6,2,5,5,5,9,2,5,4,4,2,4,5,1,3,2,4,6,3,0,203,9,3.903846154,
P13,12,10,9,6,10,11,18,8,10,17,11,12,11,13,10,8,9,10,9,8,7,5,12,10,10,5,12,7,8,0,11,7,1,15,6,9,8,12,8,4,6,4,4,9,5,8,7,19,14,11,9,5,0,470,19,9.038461538,
P14,14,12,9,11,13,12,8,12,13,10,10,17,14,14,25,18,13,22,12,21,15,17,11,15,12,17,11,5,7,7,8,9,5,11,9,8,13,12,7,8,12,7,14,6,3,9,15,8,11,13,12,18,3,615,25,11.82692308,
P15,19,45,47,42,29,44,43,36,25,52,39,42,43,42,43,51,40,44,30,39,39,36,32,39,30,22,25,34,28,29,24,29,25,38,40,36,42,22,33,30,21,31,38,35,33,30,37,30,30,34,38,20,19,1805,52,34.71153846,
P16,30,27,27,43,29,32,49,41,49,38,42,30,43,43,54,48,34,36,44,43,44,28,35,29,43,30,27,30,29,35,42,39,38,38,38,34,32,31,33,32,36,34,40,30,33,39,42,45,31,31,23,22,22,1875,54,36.05769231,
P17,49,40,40,28,40,47,44,45,39,33,39,37,33,52,29,45,34,43,40,50,29,36,32,28,35,30,22,23,20,17,24,26,20,30,28,35,41,29,35,30,40,28,36,31,36,35,43,28,30,30,26,25,17,1765,52,33.94230769,
P18,40,38,39,38,39,33,28,44,36,36,23,38,38,41,43,27,38,31,43,32,35,38,48,38,30,21,20,22,24,23,31,23,33,31,39,30,30,34,31,21,21,39,30,29,29,41,35,22,28,29,29,23,20,1682,48,32.34615385,
P19,26,31,45,36,31,28,28,34,42,40,43,35,30,33,40,45,48,35,30,29,39,41,30,34,28,22,31,29,30,34,26,28,32,31,27,40,33,34,31,19,48,21,31,19,24,32,36,30,33,29,27,29,19,1687,48,32.44230769,
P20,13,17,11,10,7,11,17,8,12,10,8,9,8,10,10,13,11,10,7,8,8,8,9,7,10,8,8,9,8,9,7,7,5,5,4,5,8,8,9,8,9,9,7,8,8,9,17,2,9,6,12,9,2,465,17,8.942307692,
P21,12,5,9,8,9,6,10,13,6,12,13,10,15,12,8,12,12,9,12,8,9,13,10,7,9,4,11,3,3,3,7,6,9,9,14,10,7,7,7,8,7,8,13,5,8,10,10,11,11,12,5,5,3,462,15,8.884615385,
P22,8,14,8,9,17,6,17,15,11,13,9,18,5,8,12,6,17,9,10,6,9,17,10,9,9,1,4,4,10,9,9,5,5,7,10,11,8,8,11,10,9,6,7,3,7,12,11,15,13,4,11,5,1,487,18,9.365384615,
P23,3,5,4,3,3,2,5,4,5,5,7,7,5,4,6,6,6,8,4,4,3,3,3,4,9,4,6,5,4,3,2,3,1,3,4,5,6,5,2,5,3,6,3,3,4,5,2,1,6,2,4,0,0,215,9,4.134615385,
